Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENBO,010020Z,100,26,,1019
ENBO,020020Z,90,24,,1017
ENBO,030020Z,90,24,,1013
ENBO,040020Z,100,20,,1009
ENBO,050020Z,90,19,,1006
ENBO,060020Z,200,8,,1012
ENBO,070020Z,100,14,,1023
ENBO,080020Z,300,18,,1026
ENBO,090020Z,240,26,,1020
ENBO,100020Z,270,16,,1026
ENBO,110020Z,330,11,,1024
ENBO,120020Z,300,24,,1012
ENBO,130020Z,100,20,,0995
ENBO,140020Z,80,12,,0996
ENBO,150020Z,90,12,,0995
ENBO,160020Z,90,17,,0992
ENBO,170020Z,100,28,,0991
ENBO,180020Z,100,23,,0991
ENBO,190020Z,80,20,,0992
ENBO,200020Z,90,16,,1000
ENBO,210020Z,90,24,,1001
ENBO,220020Z,100,23,,0984
ENBO,230020Z,80,5,,0968
ENBO,240020Z,180,5,,0992
ENBO,250020Z,90,17,,1003
ENBO,260020Z,90,11,,1012
ENBO,270050Z,250,20,,0997
ENBO,280020Z,250,35,,0998
ENBO,290020Z,220,35,51,0984
ENBO,300020Z,260,27,,1007
ENBO,310020Z,220,36,51,0994
ENBO,010020Z,130,20,,0951
ENBO,020020Z,280,30,40,0991
ENBO,030020Z,90,17,,0968
ENBO,040020Z,270,11,,0970
ENBO,050020Z,310,3,,0985
ENBO,060020Z,100,15,,0998
ENBO,070020Z,100,15,,0991
ENBO,080020Z,100,13,,0988
ENBO,090020Z,100,20,,0992
ENBO,100020Z,90,18,,1004
ENBO,110020Z,100,13,,1010
ENBO,120020Z,80,24,,1012
ENBO,130020Z,100,29,,1009
ENBO,140020Z,100,28,,1007
ENBO,150020Z,90,31,,1007
ENBO,160020Z,100,14,,1011
ENBO,170020Z,360,13,,1011
ENBO,180020Z,0,0,,1021
ENBO,190020Z,100,8,,1017
ENBO,200020Z,100,14,,1008
ENBO,210020Z,100,14,,0995
ENBO,220020Z,100,20,,0990
ENBO,230020Z,110,20,,0982
