Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENBO,010020Z,100,26,,1019
ENBO,010120Z,110,27,,1018
ENBO,010150Z,110,28,,1018
ENBO,010220Z,110,24,,1019
ENBO,010250Z,100,26,,1018
ENBO,010320Z,100,26,,1018
ENBO,010350Z,100,26,,1018
ENBO,010420Z,110,24,,1018
ENBO,010450Z,100,24,,1018
ENBO,010520Z,100,23,,1018
ENBO,010550Z,100,24,,1018
ENBO,010620Z,100,25,,1018
ENBO,010720Z,100,25,,1018
ENBO,010750Z,100,26,,1018
ENBO,010820Z,90,25,,1018
ENBO,010850Z,100,24,,1018
ENBO,010920Z,90,23,,1018
ENBO,010950Z,90,28,,1018
ENBO,011020Z,90,26,,1018
ENBO,011050Z,90,27,,1018
ENBO,011120Z,90,25,,1018
ENBO,011150Z,90,25,,1018
ENBO,011220Z,90,24,,1018
ENBO,011250Z,80,24,,1018
ENBO,011320Z,90,22,,1018
ENBO,011350Z,90,21,,1018
ENBO,011420Z,100,23,,1018
ENBO,011450Z,100,21,,1018
ENBO,011520Z,100,23,35,1018
ENBO,011550Z,110,25,,1018
ENBO,011620Z,100,26,,1018
ENBO,011650Z,100,23,,1018
ENBO,011720Z,90,25,,1017
ENBO,011750Z,90,25,,1017
ENBO,011820Z,90,24,,1017
ENBO,011850Z,100,25,,1018
ENBO,011920Z,100,25,,1018
ENBO,011950Z,100,23,,1017
ENBO,012020Z,90,25,,1017
ENBO,012050Z,90,24,,1018
ENBO,012120Z,90,24,,1018
ENBO,012150Z,90,25,,1018
ENBO,012220Z,90,25,,1017
ENBO,012250Z,100,20,,1018
ENBO,012320Z,90,25,,1017
ENBO,012350Z,90,26,,1017
ENBO,020020Z,90,24,,1017
ENBO,020050Z,90,26,,1017
ENBO,020120Z,90,25,,1017
ENBO,020150Z,90,26,,1017
ENBO,020220Z,90,26,,1017
ENBO,020250Z,90,25,,1017
ENBO,020320Z,90,25,,1017
ENBO,020350Z,90,25,,1017
ENBO,020420Z,90,24,,1017
ENBO,020450Z,90,25,,1017
ENBO,020520Z,90,25,,1016
ENBO,020550Z,90,25,,1016
ENBO,020620Z,90,26,,1016
ENBO,020650Z,90,26,,1016
ENBO,020720Z,90,26,,1016
ENBO,020750Z,90,24,,1016
ENBO,020820Z,90,26,,1016
ENBO,020850Z,90,25,,1016
ENBO,020920Z,90,27,,1016
ENBO,020950Z,90,25,,1016
ENBO,021020Z,90,28,,1016
ENBO,021050Z,90,26,,1016
ENBO,021120Z,90,23,,1016
ENBO,021150Z,80,24,,1017
ENBO,021220Z,90,23,,1017
ENBO,021250Z,90,24,,1016
ENBO,021320Z,90,24,,1016
ENBO,021350Z,90,24,,1016
ENBO,021420Z,90,24,,1016
ENBO,021450Z,90,24,,1016
ENBO,021520Z,90,24,,1016
ENBO,021550Z,90,24,,1016
ENBO,021620Z,90,21,,1016
ENBO,021620Z,90,21,,1016
ENBO,021650Z,90,22,,1016
ENBO,021720Z,90,22,,1015
ENBO,021750Z,90,24,,1015
ENBO,021820Z,90,25,,1015
ENBO,021850Z,90,24,,1015
ENBO,021920Z,90,24,,1015
ENBO,021950Z,90,24,,1015
ENBO,022020Z,90,24,,1015
ENBO,022050Z,90,25,,1014
ENBO,022120Z,90,23,,1014
ENBO,022150Z,90,24,,1014
ENBO,022220Z,90,26,,1014
ENBO,022250Z,90,22,,1014
