Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,010020Z,120,31,,1007
ENOL,020020Z,120,28,,1009
ENOL,030020Z,130,31,,1005
ENOL,040020Z,130,31,41,1004
ENOL,050020Z,130,22,,1010
ENOL,060020Z,120,11,,1015
ENOL,070020Z,130,11,,1026
ENOL,080020Z,250,23,,1033
ENOL,090020Z,250,14,,1035
ENOL,100020Z,250,15,,1036
ENOL,110020Z,290,19,,1030
ENOL,120020Z,280,24,,1026
ENOL,130020Z,230,19,,1000
ENOL,140020Z,30,4,,0994
ENOL,150020Z,110,3,,0993
ENOL,160020Z,150,8,,0994
ENOL,170020Z,130,15,,0984
ENOL,180020Z,70,10,,0985
ENOL,190020Z,120,17,,0988
ENOL,200020Z,120,10,,1004
ENOL,210020Z,130,25,,0999
ENOL,220020Z,140,25,,0980
ENOL,230020Z,250,11,,0967
ENOL,240020Z,120,22,,0983
ENOL,250020Z,340,10,,1002
ENOL,260020Z,130,19,,1006
ENOL,270020Z,170,9,,1005
ENOL,280020Z,280,14,,1010
ENOL,290020Z,250,5,,0995
ENOL,300020Z,240,17,,1020
ENOL,310020Z,140,10,,1009
ENOL,010020Z,230,48,66,0974
ENOL,020020Z,250,20,,1003
ENOL,030020Z,250,31,41,0984
ENOL,040020Z,300,27,37,0985
ENOL,050020Z,230,5,,0989
ENOL,060020Z,140,4,,0998
ENOL,070020Z,50,10,,0993
ENOL,080020Z,230,12,,0992
ENOL,090020Z,230,16,,0999
ENOL,100020Z,120,22,,1004
ENOL,110020Z,120,20,,1003
ENOL,120020Z,110,20,,1000
ENOL,130020Z,130,31,44,1001
ENOL,140020Z,110,17,,1002
ENOL,150020Z,220,12,,1010
ENOL,160020Z,130,17,,1005
ENOL,170020Z,350,20,,1015
ENOL,180020Z,130,7,,1026
ENOL,190020Z,130,11,,1014
ENOL,200020Z,130,12,,1010
ENOL,210020Z,240,9,,1001
ENOL,220020Z,140,26,,0983
ENOL,230020Z,150,18,,0975
ENOL,240020Z,230,35,46,0977
ENOL,250020Z,140,9,,0991
ENOL,260020Z,240,20,,1002
ENOL,270020Z,140,7,,1012
ENOL,280020Z,150,17,,0998
ENOL,290020Z,110,8,,0999
ENOL,010020Z,150,18,,0995
ENOL,020020Z,130,15,,1005
ENOL,030020Z,130,14,,1012
ENOL,040020Z,120,24,,1015
ENOL,050020Z,130,26,,1023
ENOL,060020Z,100,8,,1030
ENOL,070020Z,240,7,,1031
ENOL,080020Z,110,8,,1030
ENOL,090020Z,90,6,,1024
ENOL,100020Z,120,16,,1018
ENOL,110020Z,120,13,,1019
ENOL,120020Z,110,7,,1016
ENOL,130020Z,120,11,,1009
ENOL,140020Z,120,8,,0990
ENOL,150020Z,250,23,,0993
ENOL,160020Z,60,5,,1006
ENOL,170020Z,100,7,,1022
ENOL,180020Z,130,18,,1016
ENOL,190020Z,110,10,,1012
ENOL,200020Z,110,10,,1007
ENOL,210020Z,220,9,,1017
ENOL,220020Z,230,2,,0993
ENOL,230020Z,100,9,,0987
ENOL,240020Z,50,5,,0996
ENOL,250020Z,220,5,,1003
ENOL,260020Z,100,6,,1003
ENOL,270020Z,100,11,,0996
ENOL,280020Z,100,10,,0992
ENOL,290020Z,80,13,,0987
ENOL,300020Z,120,11,,0991
ENOL,310020Z,110,2,,1001
ENOL,010020Z,330,8,,1003
ENOL,020020Z,30,10,,1010
ENOL,030020Z,80,5,,1015
ENOL,040020Z,90,13,,1013
ENOL,050020Z,130,15,,1004
ENOL,060020Z,190,7,,1004
ENOL,070020Z,140,21,,0991
ENOL,080020Z,120,12,,0995
ENOL,090020Z,110,10,,1003
ENOL,100020Z,150,14,,0996
ENOL,110020Z,250,15,,1009
ENOL,120020Z,260,22,,1011
ENOL,130020Z,160,6,,1004
ENOL,140020Z,80,6,,0993
ENOL,150020Z,160,4,,1006
ENOL,160020Z,90,5,,1005
ENOL,170020Z,40,4,,1009
ENOL,180020Z,0,0,,1015
ENOL,190020Z,120,13,,1006
ENOL,200020Z,280,2,,1011
ENOL,210020Z,120,4,,1029
ENOL,220020Z,140,9,,1029
ENOL,230020Z,290,9,,1019
ENOL,240020Z,340,14,,1013
ENOL,250020Z,60,5,,1008
ENOL,260020Z,140,10,,1006
ENOL,270020Z,70,5,,1012
ENOL,280020Z,80,2,,1017
ENOL,290020Z,130,13,,1010
ENOL,300020Z,120,13,,1019
ENOL,010020Z,140,11,,1026
ENOL,020020Z,110,5,,1022
ENOL,030020Z,100,4,,1020
ENOL,040020Z,50,3,,1017
ENOL,050020Z,80,2,,1011
ENOL,060020Z,100,6,,1007
ENOL,070020Z,240,5,,1016
ENOL,080020Z,270,12,,1022
ENOL,090020Z,220,3,,1018
ENOL,100020Z,300,7,,1023
ENOL,110020Z,140,9,,1023
ENOL,120020Z,100,10,,1021
ENOL,130020Z,100,4,,1019
ENOL,140020Z,220,3,,1014
ENOL,150020Z,250,3,,1015
ENOL,160020Z,110,4,,1019
ENOL,170020Z,130,3,,1018
ENOL,180020Z,120,6,,1015
ENOL,190020Z,300,10,,1013
ENOL,200020Z,140,4,,1021
ENOL,210020Z,90,6,,1020
ENOL,220020Z,110,8,,1020
ENOL,230020Z,140,11,,1015
ENOL,240020Z,140,3,,1017
