Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,010020Z,120,31,,1007
ENOL,010050Z,120,31,,1006
ENOL,010120Z,120,32,,1006
ENOL,010150Z,120,29,39,1006
ENOL,010220Z,120,30,44,1006
ENOL,010250Z,120,28,,1007
ENOL,010320Z,120,31,,1007
ENOL,010350Z,130,28,,1007
ENOL,010420Z,120,28,,1007
ENOL,010450Z,120,28,39,1007
ENOL,010520Z,120,27,37,1007
ENOL,010550Z,120,29,,1007
ENOL,010620Z,120,30,,1007
ENOL,010650Z,120,31,,1007
ENOL,010720Z,130,35,45,1007
ENOL,010750Z,130,34,46,1007
ENOL,010820Z,120,36,48,1007
ENOL,010850Z,130,36,,1007
ENOL,010920Z,130,36,48,1008
ENOL,010950Z,130,39,49,1007
ENOL,011020Z,130,38,48,1007
ENOL,011050Z,130,37,,1008
ENOL,011120Z,130,38,45,1008
ENOL,011150Z,130,36,49,1008
ENOL,011220Z,120,28,,1009
ENOL,011250Z,120,30,,1009
ENOL,011320Z,130,34,44,1008
ENOL,011350Z,130,34,44,1008
ENOL,011420Z,130,30,41,1009
ENOL,011450Z,130,30,43,1008
ENOL,011520Z,130,32,44,1008
ENOL,011550Z,130,32,42,1008
ENOL,011620Z,130,32,42,1007
ENOL,011650Z,130,33,43,1007
ENOL,011720Z,130,32,,1008
ENOL,011750Z,130,27,38,1008
ENOL,011820Z,130,27,40,1009
ENOL,011850Z,130,27,37,1008
ENOL,011920Z,130,30,42,1008
ENOL,011950Z,120,30,,1009
ENOL,012020Z,120,28,,1009
ENOL,012050Z,120,30,,1009
ENOL,012120Z,120,32,,1009
ENOL,012150Z,120,30,,1009
ENOL,012220Z,120,31,,1009
ENOL,012250Z,120,31,,1009
ENOL,012320Z,120,31,42,1009
ENOL,012350Z,120,31,41,1009
ENOL,020020Z,120,28,,1009
ENOL,020050Z,120,24,,1009
ENOL,020120Z,130,27,,1009
ENOL,020150Z,130,25,35,1008
ENOL,020220Z,130,30,40,1008
ENOL,020250Z,120,28,,1008
ENOL,020320Z,120,27,37,1008
ENOL,020350Z,120,38,51,1007
ENOL,020420Z,120,36,,1008
ENOL,020450Z,110,32,42,1007
ENOL,020520Z,120,35,45,1008
ENOL,020550Z,120,37,,1008
ENOL,020620Z,120,35,45,1008
ENOL,020650Z,120,35,46,1007
ENOL,020720Z,120,37,47,1007
ENOL,020750Z,120,33,48,1007
ENOL,020820Z,120,30,44,1008
ENOL,020850Z,120,32,44,1008
ENOL,020920Z,120,28,,1008
ENOL,020950Z,120,25,38,1009
ENOL,021020Z,110,27,37,1009
ENOL,021050Z,120,23,38,1009
ENOL,021120Z,130,29,40,1008
ENOL,021150Z,130,34,48,1007
ENOL,021220Z,130,37,52,1007
ENOL,021250Z,130,31,44,1006
ENOL,021320Z,130,31,,1007
ENOL,021350Z,130,28,,1007
ENOL,021420Z,120,31,47,1007
ENOL,021450Z,120,30,42,1007
ENOL,021520Z,130,30,45,1007
ENOL,021550Z,130,34,46,1006
ENOL,021620Z,130,43,,1006
ENOL,021650Z,130,40,,1006
ENOL,021720Z,130,35,47,1006
ENOL,021750Z,130,32,45,1006
ENOL,021820Z,130,37,47,1006
ENOL,021850Z,130,36,51,1006
ENOL,021920Z,130,37,49,1005
ENOL,021950Z,130,39,51,1005
ENOL,022020Z,130,39,53,1005
ENOL,022050Z,130,31,45,1007
ENOL,022120Z,130,25,,1007
ENOL,022150Z,130,25,37,1007
ENOL,022220Z,130,30,41,1006
ENOL,022250Z,130,31,,1006
ENOL,022320Z,130,22,,1006
ENOL,022350Z,130,26,38,1006
ENOL,030020Z,130,31,,1005
ENOL,030050Z,130,31,,1005
ENOL,030120Z,130,33,43,1005
ENOL,030150Z,130,36,52,1005
ENOL,030220Z,130,36,,1005
ENOL,030250Z,130,36,48,1005
ENOL,030320Z,130,34,47,1005
ENOL,030350Z,130,37,47,1005
ENOL,030420Z,130,37,49,1005
ENOL,030450Z,130,38,49,1004
ENOL,030520Z,130,38,,1004
ENOL,030550Z,130,40,52,1004
ENOL,030620Z,130,37,,1004
ENOL,030650Z,130,33,44,1004
ENOL,030720Z,130,35,46,1004
ENOL,030750Z,130,33,47,1004
ENOL,030820Z,130,35,47,1004
ENOL,030850Z,130,35,46,1004
ENOL,030920Z,130,36,48,1003
ENOL,030950Z,130,36,,1003
ENOL,031020Z,130,36,46,1003
ENOL,031050Z,130,35,48,1002
ENOL,031120Z,130,36,47,1003
ENOL,031150Z,130,37,47,1003
ENOL,031220Z,130,34,46,1003
ENOL,031250Z,130,32,42,1003
ENOL,031320Z,130,33,45,1003
ENOL,031350Z,130,35,,1003
ENOL,031420Z,130,34,45,1003
ENOL,031450Z,130,28,40,1003
ENOL,031520Z,130,32,45,1003
ENOL,031550Z,130,31,,1004
ENOL,031620Z,130,31,41,1004
ENOL,031650Z,130,33,,1003
ENOL,031720Z,130,32,45,1003
ENOL,031750Z,130,33,44,1003
ENOL,031820Z,130,31,41,1003
ENOL,031850Z,130,32,43,1004
ENOL,031920Z,130,33,44,1004
ENOL,031950Z,130,30,,1004
ENOL,032020Z,130,30,,1004
ENOL,032050Z,130,27,37,1004
ENOL,032120Z,130,30,41,1004
ENOL,032150Z,130,31,41,1004
ENOL,032220Z,130,32,45,1004
ENOL,032250Z,130,32,42,1004
ENOL,032320Z,130,31,,1004
ENOL,032350Z,130,33,,1004
ENOL,040020Z,130,31,41,1004
ENOL,040050Z,130,31,41,1004
ENOL,040120Z,130,31,41,1004
ENOL,040150Z,130,32,,1004
ENOL,040220Z,130,30,,1004
ENOL,040250Z,130,28,,1004
ENOL,040320Z,130,26,,1004
ENOL,040350Z,130,30,,1004
ENOL,040420Z,130,28,,1004
ENOL,040450Z,130,30,,1004
ENOL,040520Z,130,27,,1004
ENOL,040550Z,130,25,,1004
ENOL,040620Z,130,24,,1005
ENOL,040650Z,130,25,,1006
ENOL,040720Z,130,23,,1006
ENOL,040750Z,130,23,,1006
ENOL,040820Z,130,24,,1006
ENOL,040850Z,130,23,,1007
ENOL,040920Z,130,23,,1007
ENOL,040950Z,130,24,,1007
ENOL,041020Z,130,23,,1007
ENOL,041050Z,130,22,,1007
ENOL,041120Z,130,26,,1007
ENOL,041150Z,130,23,,1007
ENOL,041220Z,120,21,,1007
ENOL,041250Z,130,23,,1007
ENOL,041320Z,120,20,,1008
ENOL,041350Z,120,20,,1008
